senseval2.d000.s000.t000	1) the products of human creativity; works of art collectively.
senseval2.d000.s045.t016	1) the act of communicating with a deity (especially as a petition or in adoration or contrition or thanksgiving)
senseval2.d000.s045.t017	6) speak, pronounce, or utter in a certain way.In this sentence, the speaker is expressing their thoughts and opinions
senseval2.d000.s046.t000	1) declare to be true or admit the existence or reality or truth of
senseval2.d000.s046.t001	2) involving or composed of different races.This definition best fits the context of the sentence, as Vicar Marshall has mixed
senseval2.d000.s046.t002	1) the experiencing of affective and emotional states
senseval2.d000.s046.t003	3) some situation or event that is thought about.This definition captures the idea of a problem or concern that someone is grappling
senseval2.d000.s046.t004	3) (Church of England) a clergyman appointed to act as priest of a parish.The sentence implies that Vicar
senseval2.d000.s046.t005	11) (used of verbs (e.g. `to run') and participial adjectives (e.g. `running
senseval2.d000.s046.t006	1) a person who rings church bells (as for summoning the congregation).
senseval2.d000.s047.t000	1) the particular auditory effect produced by a given cause.This definition is the most suitable because the sentence is describing the audible
senseval2.d000.s047.t001	1) a hollow device made of metal that makes a ringing sound when struck.
senseval2.d000.s047.t002	16) bring or lead someone to a certain action or condition.In the sentence, "draw" means to attract or lure
senseval2.d000.s047.t003	1) (plural) any group of human beings (men or women or children) collectively
senseval2.d000.s047.t004	2) a place for public (especially Christian) worship
senseval2.d000.s047.t005	6) speak, pronounce, or utter in a certain way.The context of the sentence suggests that the person is speaking or
senseval2.d000.s048.t000	3) continue to live through hardship or adversity.In this context, "live" is used as a verb meaning to endure
senseval2.d000.s048.t001	2) the general feeling that some desire will be fulfilled.The sentence is referring to the overall sentiment or attitude of expecting that
senseval2.d000.s048.t002	2) a person who is almost identical to another.In the given sentence, "ringers" is likely referring to people
senseval2.d000.s048.t003	The most suitable dictionary definition which identifies the meaning of "drawn" among the given definitions is:4) make, formulate
senseval2.d000.s048.t004	3) complete in extent or degree and in every particular.The sentence suggests that the speaker is hoping that the ringer (
senseval2.d000.s048.t005	1) a characteristic state or mode of living.The sentence is talking about a desired state or way of living, rather than
senseval2.d000.s049.t000	1) a category of things distinguished by some common characteristic or quality
senseval2.d000.s049.t001	1) a legislative assembly in certain countries
senseval2.d000.s049.t002	1) any number of entities (members) considered as a unit
senseval2.d000.s049.t003	2) propose or intend
senseval2.d000.s049.t004	1) to make better
senseval2.d000.s049.t006	3) (Church of England) a clergyman appointed to act as priest of a parish.This definition most accurately fits the
senseval2.d000.s049.t007	9) state as one's opinion or judgement; declare
senseval2.d000.s049.t008	4) the officer who presides at the meetings of an organization.In this context, John C. Baldwin is the person
senseval2.d000.s050.t000	1) expect and wish
senseval2.d000.s050.t001	5) make a characteristic or natural sound.The sentence implies that the bells will produce a sound, so the most suitable definition
senseval2.d000.s050.t002	1) a learner who is enrolled in an educational institution
senseval2.d000.s050.t004	2) an institution of higher education created to educate and grant degrees; often a part of a university.In this sentence,
senseval2.d000.s050.t005	2) something or someone that provides a source of happiness.In this context, "joys" is referring to the things
senseval2.d000.s050.t006	3) playing a set of bells that are (usually) hung in a tower.
senseval2.d000.s050.t007	2) in the near future
senseval2.d000.s050.t008	2) prepare and issue for public distribution or sale
senseval2.d000.s050.t010	3) (Church of England) a clergyman appointed to act as priest of a parish.This definition best fits the context
senseval2.d000.s050.t011	2) the territory occupied by a nation
senseval2.d000.s050.t012	2) give a title toIn this sentence, the speaker is giving a title to the booklet ("The Bells in
senseval2.d000.s050.t013	1) a hollow device made of metal that makes a ringing sound when struck.
senseval2.d000.s050.t014	5) attention and management implying responsibility for safety.In this context, "care" refers to the responsibility of a vicar
senseval2.d000.s051.t000	6) speak, pronounce, or utter in a certain way.In this sentence, Mr. Baldwin is quoting someone (im
senseval2.d000.s051.t002	9) show approval or appreciation ofThe sentence "recognize" is in the sense of "to acknowledge or accept something
senseval2.d000.s051.t003	3) used to express refusal or denial or disagreement etc or especially to emphasize a negative statement.In this sentence, "no
senseval2.d000.s051.t005	1) greater than normal in degree or intensity or amount.In the given sentence, "high" is used to describe the
senseval2.d000.s051.t006	1) status established in order of importance or urgency
senseval2.d000.s051.t007	2) a place for public (especially Christian) worship
senseval2.d000.s051.t008	12) an account of the series of events making up a person's life.This definition captures the meaning of "life"
senseval2.d000.s051.t009	1) the accumulation of knowledge or skill that results from direct participation in events or activities.This definition best captures the meaning of
senseval2.d000.s052.t002	1) launch an attack or assault on; begin hostilities or start warfare with
senseval2.d000.s052.t004	1) a state of difficulty that needs to be resolved.
senseval2.d000.s052.t006	2) a person who is almost identical to another
senseval2.d000.s053.t000	2) short descriptive summary (of events)In this context, "one survey says" is an idiomatic expression that means
senseval2.d000.s053.t001	6) speak, pronounce, or utter in a certain way.The sentence "One survey says" is an idiomatic expression
senseval2.d000.s053.t003	1) a person who rings church bells (as for summoning the congregation).
senseval2.d000.s053.t005	2) the day that includes the present moment (as opposed to yesterday or tomorrow)This definition best fits the context of the
senseval2.d000.s053.t006	5) except thatIn this sentence, "only" is used to indicate that 40,000 is the exception to
senseval2.d000.s053.t007	1) with reference to action or condition; without change, interruption, or cessation.In this sentence, "still" means
senseval2.d000.s054.t001	1) a person who rings church bells (as for summoning the congregation).
senseval2.d000.s054.t002	1) at all times; all the time and on every occasion
senseval2.d000.s054.t003	1) inhabit or live in; be an inhabitant of
senseval2.d000.s054.t004	1) a hollow device made of metal that makes a ringing sound when struck.
senseval2.d000.s054.t005	3) have or feel a need for.This definition best captures the meaning of "need" in the context of the sentence
senseval2.d000.s054.t006	3) make (bells) ring, often for the purposes of musical edification.
senseval2.d000.s054.t007	1) limited or below average in number or quantity or magnitude or extent
