senseval2.d000.s000.t000	The skillful and imaginative use of language or other media to express ideas and emotions.
senseval2.d000.s047.t003	Human beings regarded collectively, especially in terms of their characteristics, behaviors, or relationships.
senseval2.d000.s047.t004	A building used for public Christian worship, typically having a steeple and one or more spires.
senseval2.d000.s047.t005	Indicates that the following words are spoken by a person or character.
senseval2.d000.s048.t000	To have as one's aim or purpose; to exist in a particular state or condition: live in hope.
senseval2.d000.s048.t001	Desires with an expectation of or belief in possible fulfillment.
senseval2.d000.s048.t002	Persons who ring bells, especially as a hobby or in a church bell-ringing group.
senseval2.d000.s048.t003	To be attracted or enticed to do something, especially by a strong interest or desire.
senseval2.d000.s048.t004	Of greater capacity, extent, or amount; more complete or abundant.
senseval2.d000.s048.t005	The condition that distinguishes animals and plants from inorganic matter, including their capacity for growth, reproduction, functional activity, and
senseval2.d000.s049.t000	A type or kind of something.
senseval2.d000.s049.t001	A legislative, elected assembly of representatives having the power to make laws, change existing laws, and oversee the government.
senseval2.d000.s049.t002	A number of people who have something in common and who act together as a unit.
senseval2.d000.s049.t003	To have or show a particular intention or object; intend; purpose.
senseval2.d000.s049.t004	To make (something) better or more satisfactory.
senseval2.d000.s049.t006	A parish priest of the Church of England or Church in Wales.
senseval2.d000.s049.t007	To speak or utter something in words; express in speech or writing.
senseval2.d000.s049.t008	The elected or appointed head of a state, corporation, or other organization.
senseval2.d000.s050.t000	Desires or wishes for something to happen or be the case.
senseval2.d000.s050.t001	To address (someone) orally in order to give information, express an opinion, etc.
senseval2.d000.s050.t002	Individuals who are enrolled in an educational institution, especially at the college or university level, to study a particular subject or to
senseval2.d000.s050.t004	An institution of higher education and research, which grants academic degrees in various subjects.
senseval2.d000.s050.t005	A state of great pleasure and happiness.
senseval2.d000.s050.t006	The act or practice of ringing bells, especially as a form of musical expression or as part of a religious ceremony.
senseval2.d000.s050.t007	Soon; in a short time.
senseval2.d000.s050.t008	To make available to the public, especially by producing copies of (a book, newspaper, or other material).
senseval2.d000.s050.t010	A member of the clergy in the Church of England or in some other Anglican churches who is in charge of a parish and
senseval2.d000.s050.t011	A nation considered as an organized community under one government.
senseval2.d000.s050.t012	Having a specified name or title; called or named.
senseval2.d000.s050.t013	A hollow, usually cup-shaped instrument of metal or wood, typically having a clapper inside, that produces a ringing sound when
senseval2.d000.s050.t014	The provision of what is necessary for the health, welfare, maintenance, and protection of someone or something.
senseval2.d000.s051.t000	Indicates that the following words are spoken by a particular person or group of people.
senseval2.d000.s051.t002	To know and accept the existence, fact, or truth of something, especially something previously unrecognized.
senseval2.d000.s051.t003	Not; not at all; not even.
senseval2.d000.s051.t005	Of great vertical extent or elevation; tall: a high mountain. Of great importance, value, or quality: a high standard
senseval2.d000.s051.t006	The fact or condition of being regarded or treated as more important than others: importance.
senseval2.d000.s051.t007	A Christian place of worship and assembly, typically having a steeple and bell tower, where believers gather for religious services,
senseval2.d000.s051.t008	The condition that an individual, animal, or plant exists in; the fact of being alive and having physical existence.
senseval2.d000.s051.t009	The knowledge or skill acquired by a period of practical experience of something, especially that gained in a particular profession or activity.
senseval2.d000.s052.t002	To deal with (a problem, difficulty, or enemy) aggressively or directly.
senseval2.d000.s052.t004	A matter or situation regarded as unwelcome or harmful and needing to be dealt with and overcome.
senseval2.d000.s052.t006	A person who rings a bell, especially as a member of a church bell-ringing team.
senseval2.d000.s053.t000	A survey is a method of gathering information from a sample of individuals, typically by asking questions, to gain insights or data on
senseval2.d000.s053.t001	To express in words; to state or declare.
senseval2.d000.s053.t003	Persons who ring bells, especially as a skillful or organized activity.
senseval2.d000.s053.t005	At the present time; at the time of speaking or writing.
senseval2.d000.s053.t006	Used to emphasize that the number or amount is small or limited in comparison with what might be expected or desired: "only a
senseval2.d000.s053.t007	Continuing to exist or occur, especially after a change or interruption.
senseval2.d000.s054.t001	Persons who ring bells, especially as a sport or as part of a church service.
senseval2.d000.s054.t002	At all times; on every occasion; without exception.
senseval2.d000.s054.t003	Reside or have one's home in a particular place.
senseval2.d000.s054.t004	A hollow, usually cup-shaped metal instrument that produces a ringing sound when struck, typically hung in a tower or steeple
senseval2.d000.s054.t005	To require something; to be necessary or essential for a particular purpose.
senseval2.d000.s054.t006	To cause (a bell) to sound by striking the clapper against the inside of the bell.
senseval2.d000.s054.t007	Of a size that is less than normal or usual; little in extent or capacity.
senseval2.d000.s055.t000	An assembly of people officially charged with transacting certain duties or functions, especially legislative or administrative ones.
senseval2.d000.s055.t001	A planned series of events or activities with a particular long-term aim.
senseval2.d000.s055.t002	To cause (someone) to have a desire to do something or to come to a place.
senseval2.d000.s055.t003	To teach (a person) a particular skill or type of behavior by instruction and practice.
senseval2.d000.s055.t004	A person who rings a bell, especially as part of a church bell-ringing team.
senseval2.d000.s055.t005	To the extent that; merely; just.
senseval2.d000.s055.t008	To speak or utter something in words; express in speech or writing.
